epoch,acc,loss,val_acc,val_loss
0,0.973711825304,0.0786783307176,0.976342504883,0.0687345073223
1,0.976024948148,0.0698570020859,0.977302510071,0.0661719169378
2,0.976863376529,0.0670552262977,0.97744250555,0.064798675251
3,0.977482740864,0.0650985096678,0.977882496357,0.0635002957702
4,0.977917694965,0.0636853634799,0.978262502766,0.0630112313151
5,0.978265578779,0.0626558391848,0.978152504539,0.0628610032082
6,0.978601522187,0.0614813335107,0.978290006161,0.0624509327173
7,0.978873106285,0.0605749953397,0.978277502728,0.0626563837409
8,0.979157794084,0.0597473996939,0.978270010662,0.062356590724
9,0.979316835681,0.059118407882,0.978432500648,0.0620433541298
10,0.979580283277,0.058310741088,0.978727508259,0.061275635016
11,0.979796916132,0.0576214634561,0.979042506123,0.0610576879501
12,0.979956381755,0.0570046574249,0.978787503338,0.0609867170215
13,0.980158221204,0.0564286130978,0.97879001646,0.0610956403375
14,0.980309230263,0.0559232755913,0.978882505512,0.0606470307946
15,0.980463305203,0.05535504589,0.978965003681,0.061021604383
16,0.98066091739,0.0547577970289,0.979107513714,0.0601628119707
17,0.980771347514,0.054221496041,0.979505639975,0.0598389879358
18,0.980869520827,0.0538952183284,0.979124999142,0.0602873534441
19,0.981135608356,0.0531273035039,0.979455005169,0.0600393345237
20,0.981227019488,0.0528646564385,0.978734635525,0.0612579966911
21,0.981441434087,0.0522446340701,0.978877504349,0.0606920480371
22,0.981498076095,0.0518363227007,0.979152513409,0.0610616493702
23,0.981623828196,0.0514782124875,0.979067503643,0.0614302594781
24,0.981777375483,0.0510060655351,0.979390003014,0.0600394426465
25,0.981909150568,0.0505969546127,0.979332509136,0.0599777983189
26,0.982023070359,0.050104709007,0.978917504597,0.0607395517349
27,0.982160449417,0.0496857561316,0.978617500019,0.0620336224318
