epoch,acc,loss,val_acc,val_loss
0,0.965033677507,0.131968071417,0.967275007343,0.116300860643
1,0.967896419213,0.11168282662,0.968097507954,0.105415578246
2,0.96839425512,0.10413870791,0.9684675107,0.100275459003
3,0.968806070181,0.0999548045516,0.968852504349,0.097032401824
4,0.969255931923,0.0970853677874,0.969232507706,0.0946800008774
5,0.969624207428,0.0948913451307,0.969537508011,0.0928997968197
6,0.969930349753,0.0931470071907,0.969860016251,0.0912886189699
7,0.970201509887,0.0916761107901,0.970165015602,0.0899978976011
8,0.970456293125,0.0904230874536,0.970365015602,0.0889792185307
9,0.97067208119,0.0893444636815,0.970565017128,0.0880041841269
10,0.970891887634,0.0883325962123,0.970742508888,0.0872083958983
11,0.971073860507,0.0875056505311,0.971050008583,0.0863151842952
12,0.971262066984,0.0868014669004,0.971192507362,0.0856480922222
13,0.97138507145,0.0860765751305,0.971390011024,0.0850685302019
14,0.971570954863,0.0854450021173,0.971577506447,0.0844643417835
15,0.97169998382,0.0848776065439,0.971777506447,0.0840113652468
16,0.971843808138,0.0843347137667,0.9717700037,0.0835782506824
17,0.971936274649,0.0838899260772,0.971890006447,0.0830690288305
18,0.972037825447,0.0834023512764,0.972037510109,0.082687223196
19,0.972183660008,0.0830212832213,0.97226250248,0.0822144537926
20,0.972284895958,0.0826142606929,0.972137500954,0.0819689112425
21,0.972386766207,0.0822431092235,0.972285001564,0.0815544258237
22,0.97247796459,0.0818666037142,0.97248250885,0.0812460968971
23,0.97256588592,0.0815516778449,0.972589997864,0.0809164854884
24,0.972634786261,0.0812671912758,0.972660005188,0.0806686177492
25,0.972715944965,0.080914138336,0.972705001831,0.0805012308121
26,0.972811895773,0.0806535060381,0.972677500916,0.0803045283318
27,0.972832398716,0.0803980074631,0.972815005493,0.0799199086547
28,0.972946420778,0.0801320478581,0.972880006409,0.0797487882018
29,0.973032443239,0.0798691951815,0.973027511597,0.0794742844343
30,0.973086442043,0.0796501022771,0.972972511292,0.0792369529247
